time,AI,BI,AJ,BJ,OH0,OH1,OH2
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.76674709e-01,4.99999726e-01,7.64148369e-08
4.99998904e-01,1.00000000e+00,0.00000000e+00,1.00000000e-12,0.00000000e+00,2.33414583e-02,4.76674709e-01,4.99999726e-01
4.99998904e-01,4.99998904e-01,3.00000000e-12,2.00000000e+00,0.00000000e+00,3.12688970e-07,2.33414583e-02,4.76674709e-01
-4.72859392e-10,4.99998904e-01,3.00000000e+00,4.99998904e-01,7.00000000e-12,4.99999726e-01,3.12688969e-07,2.33414583e-02
5.00000000e-01,-4.72859392e-10,4.99998904e-01,4.99998904e-01,4.00000000e+00,4.99999726e-01,4.99999726e-01,3.12688969e-07
1.30329070e-13,5.00000000e-01,4.99998904e-01,-4.72859393e-10,4.99998904e-01,4.99999726e-01,4.99999726e-01,4.99999726e-01
1.30329038e-13,1.30329070e-13,-4.72859395e-10,5.00000000e-01,4.99998904e-01,4.99999726e-01,4.99999726e-01,4.99999726e-01
1.30329124e-13,1.30329066e-13,5.00000000e-01,1.30329136e-13,-4.72859398e-10,1.56630347e-07,4.99999726e-01,4.99999726e-01
1.30329027e-13,1.30328893e-13,1.30328982e-13,1.30329034e-13,5.00000000e-01,5.00000000e-01,1.56630356e-07,4.99999726e-01
4.99999452e-01,1.30329197e-13,1.30329194e-13,1.30329145e-13,1.30329145e-13,4.99999726e-01,5.00000000e-01,1.56630339e-07
4.99999452e-01,4.99999452e-01,1.30329323e-13,1.30329192e-13,1.30329122e-13,5.00000000e-01,4.99999726e-01,5.00000000e-01
1.83414824e-07,4.99999452e-01,1.30329125e-13,4.99999452e-01,1.30329015e-13,5.02617826e-01,5.00000007e-01,5.00009455e-01
5.00012309e-01,3.29331766e-03,5.04955464e-01,5.01429064e-01,6.76582905e-08,5.00000000e-01,5.04446500e-01,5.00000007e-01
5.00005971e-01,5.00026083e-01,5.02382122e-01,5.31640243e-03,5.07860269e-01,5.00001410e-01,5.00000000e-01,5.06223561e-01
2.58565553e-07,5.00007777e-01,7.08451109e-03,5.00041058e-01,5.03295291e-01,5.00000000e-01,5.00001912e-01,5.00000000e-01
2.29823277e-04,2.89447203e-07,5.00074799e-01,5.00010704e-01,9.41240835e-03,5.01685342e-01,5.00000000e-01,5.00002241e-01
1.69093219e-05,3.18803332e-04,5.00012993e-01,3.14880150e-07,5.00109611e-01,5.00000000e-01,5.02005924e-01,5.00000000e-01
5.00069897e-01,2.65000689e-05,3.54173827e-07,4.81054707e-04,5.00016429e-01,5.00031634e-01,5.00000000e-01,5.02217791e-01
4.83702279e-01,5.00088528e-01,6.22836578e-04,3.39993626e-05,3.81082653e-07,5.00000006e-01,5.00036689e-01,5.00000000e-01
2.38766742e-02,4.87663792e-01,4.36316005e-05,5.00117517e-01,8.53271778e-04,5.42425164e-01,5.00000005e-01,5.00035557e-01
1.82460337e-03,2.39312189e-02,5.00125875e-01,4.90952571e-01,4.20945654e-05,5.00000000e-01,5.46479471e-01,5.00000005e-01
5.45587763e-01,1.64808296e-03,4.91506534e-01,2.37898375e-02,5.00093161e-01,5.00325013e-01,5.00000000e-01,5.46154579e-01
4.99996334e-01,5.38137947e-01,2.35650868e-02,1.17560819e-03,4.89576849e-01,5.42997370e-01,5.00305102e-01,5.00000000e-01
5.02596219e-01,4.99995612e-01,1.04690431e-03,5.35130034e-01,2.35085995e-02,5.20225893e-01,5.40659092e-01,5.00286961e-01
4.99986769e-01,5.02326197e-01,5.32753759e-01,4.99995106e-01,9.40485678e-04,5.00246981e-01,5.18260449e-01,5.36279143e-01
-8.81742122e-04,4.99978177e-01,4.99994131e-01,5.01814919e-01,5.28024780e-01,5.00062304e-01,5.00155942e-01,5.14151300e-01
5.00000000e-01,-1.32274277e-03,5.00932701e-01,4.99965188e-01,4.99992857e-01,4.99999998e-01,4.99872832e-01,5.00062114e-01
4.99937633e-01,5.00000000e-01,4.99953589e-01,-1.64829219e-03,5.00180097e-01,4.95483328e-01,4.99999998e-01,4.99512375e-01
5.00000000e-01,4.99873572e-01,-2.17421313e-03,5.00000000e-01,4.99934493e-01,5.00000000e-01,4.86954630e-01,4.99999998e-01
4.72650489e-01,5.00000000e-01,5.00000000e-01,4.99819772e-01,-2.61429993e-03,4.99941677e-01,5.00000000e-01,4.70207884e-01
5.00000000e-01,4.36071540e-01,4.99740626e-01,5.00000000e-01,5.00000000e-01,4.51778108e-01,4.99940530e-01,5.00000000e-01
4.99993232e-01,5.00000000e-01,5.00000000e-01,3.99591202e-01,4.99691327e-01,-2.88048724e-03,4.32916104e-01,4.99947888e-01
4.99999999e-01,4.99997669e-01,3.26699620e-01,5.00000000e-01,5.00000000e-01,2.14452138e-02,-3.07862771e-03,4.15377959e-01
4.93330729e-01,4.99999999e-01,5.00000000e-01,5.00000808e-01,2.53458607e-01,-6.00347978e-05,2.13730665e-02,-3.21630522e-03
5.00000000e-01,4.93694192e-01,5.00002120e-01,4.99999999e-01,5.00000000e-01,4.99999999e-01,-5.81721502e-05,2.13633033e-02
4.99945506e-01,5.00000000e-01,4.99999999e-01,4.93877056e-01,5.00002151e-01,-8.60451527e-03,4.99999999e-01,-5.63873537e-05
5.00000000e-01,4.99946801e-01,4.94089077e-01,5.00000000e-01,4.99999999e-01,3.77447503e-01,-8.86998815e-03,4.99999999e-01
3.70016144e-01,5.00000000e-01,5.00000000e-01,4.99949110e-01,4.94706529e-01,3.44897348e-01,3.85330097e-01,-9.14795543e-03
5.00000000e-01,3.64352883e-01,4.99951082e-01,5.00000000e-01,5.00000000e-01,4.99973681e-01,3.38169811e-01,3.97873783e-01
4.98213354e-01,5.00000000e-01,5.00000000e-01,3.58807647e-01,4.99952743e-01,4.96288422e-01,4.99974396e-01,3.31434983e-01
3.53388181e-01,4.98176820e-01,3.53388182e-01,5.00000000e-01,5.00000000e-01,5.00000000e-01,4.96212567e-01,4.99974913e-01
3.24680488e-01,3.48102591e-01,5.00000000e-01,4.98139726e-01,3.48102591e-01,3.67718316e-01,5.00000000e-01,4.96051034e-01
4.98061736e-01,3.11044456e-01,4.98061737e-01,3.37965638e-01,5.00000000e-01,5.00000000e-01,3.60855857e-01,5.00000000e-01
4.95891576e-01,4.97986729e-01,3.29693504e-01,2.99077125e-01,4.97986730e-01,2.10099089e-02,5.00000000e-01,3.53925493e-01
4.99999998e-01,4.95754172e-01,2.86973835e-01,4.97912917e-01,3.21942643e-01,5.00000000e-01,2.09336263e-02,5.00000000e-01
4.93829357e-01,4.99999998e-01,4.97842415e-01,4.95605374e-01,2.74792272e-01,-1.40275567e-02,5.00000000e-01,2.08591237e-02
5.00000000e-01,4.95795686e-01,4.95456692e-01,4.99999999e-01,4.97768238e-01,-5.54927703e-11,-1.49384380e-02,5.00000000e-01
4.99975187e-01,5.00000000e-01,4.99999999e-01,4.97027067e-01,4.95315787e-01,4.99544748e-01,-5.11248117e-11,-1.66122870e-02
3.18841948e-01,4.99977628e-01,4.98489406e-01,5.00000000e-01,5.00000000e-01,4.01343137e-10,4.99679751e-01,3.53013179e-11
-4.58874781e-03,2.91133983e-01,5.00000000e-01,4.99996212e-01,4.99648674e-01,1.42230806e-04,3.99337584e-11,5.00242305e-01
2.08960035e-02,-4.49364089e-03,5.00039991e-01,2.66059011e-01,5.00000000e-01,4.51065140e-14,-3.69607801e-04,-9.64719583e-11
5.95454257e-05,2.15553013e-02,2.48350461e-01,-4.05324074e-03,5.00093316e-01,5.00006884e-01,4.51064380e-14,-5.15722405e-04
4.99999991e-01,1.03967728e-04,-3.46699569e-03,2.23676183e-02,2.36688116e-01,4.49422431e-14,5.00004109e-01,4.51062736e-14
5.99875062e-02,4.99999990e-01,2.32983182e-02,1.39405840e-04,-2.81524847e-03,4.97564326e-01,4.49712688e-14,5.00001210e-01
5.00075279e-01,9.49197083e-02,1.64344294e-04,4.99999989e-01,2.42940039e-02,4.51239703e-14,4.98080816e-01,4.50001020e-14
3.61907272e-02,5.00074515e-01,4.99999988e-01,1.34015823e-01,1.81920885e-04,5.00298911e-01,4.51227314e-14,4.98529900e-01
5.00167867e-01,2.93454217e-02,1.76467996e-01,5.00061768e-01,4.99999988e-01,1.23272203e-02,5.00255838e-01,4.51202113e-14
5.18368547e-01,5.00142713e-01,5.00049325e-01,2.43417393e-02,2.21933171e-01,2.05376133e-02,1.04028329e-02,5.00193835e-01
5.00000000e-01,5.19952992e-01,2.05376157e-02,5.00106831e-01,5.00035141e-01,-2.32629334e-05,1.74761879e-02,8.86443237e-03
2.08985626e-01,5.00000000e-01,5.00093439e-01,5.20708444e-01,1.74761899e-02,5.20792356e-01,1.05224684e-05,1.49683802e-02
5.00000000e-01,2.07114284e-01,5.20792356e-01,5.00000000e-01,5.00042592e-01,6.53653456e-03,5.20115008e-01,-9.77953657e-06
2.06787570e-02,5.00000000e-01,5.00000000e-01,2.05135813e-01,5.20115008e-01,1.08175882e-02,5.53774887e-03,5.18500236e-01
5.00000000e-01,1.10270430e-02,2.02790575e-01,4.99999999e-01,5.00000000e-01,-9.39391355e-06,8.95981502e-03,4.62220713e-03
4.64739308e-01,5.00000000e-01,4.99999999e-01,-2.12728701e-04,2.00410016e-01,5.14135618e-01,4.66723818e-06,7.21619970e-03
1.74051543e-08,4.76108797e-01,-1.30207184e-02,5.00000000e-01,4.99999999e-01,-2.79531698e-12,5.11900955e-01,5.66995774e-07
3.85907719e-01,1.80634712e-08,5.00000000e-01,4.82739599e-01,-2.67537942e-02,2.32667710e-03,3.17081220e-12,5.09883241e-01
-6.62416018e-12,3.53004117e-01,4.86540135e-01,1.84033728e-08,5.00000000e-01,-4.03608050e-12,1.40255425e-03,-2.77464562e-12
-3.21714846e-05,-1.29899146e-11,1.86674459e-08,2.85416293e-01,4.90149498e-01,2.43378340e-07,7.06213932e-12,8.74972615e-04
4.51056339e-14,-1.78860270e-05,2.17199227e-01,1.21430145e-12,1.86605307e-08,-7.03368696e-12,-3.23762043e-07,-5.35181689e-13
4.99996935e-01,4.51059079e-14,-3.79533267e-12,-1.66146142e-05,2.09755770e-01,-9.40262489e-04,-6.33502139e-12,-4.04915011e-07
4.51006121e-14,4.99998506e-01,-1.53453832e-05,4.51059882e-14,-3.44446951e-12,1.97671340e-11,-6.21705646e-04,-4.96311680e-12
4.99913883e-01,4.51013161e-14,4.51060697e-14,5.00000169e-01,-1.28714982e-05,-8.76077334e-03,2.74622390e-11,-1.66583189e-04
