net,length_um
carry\[0\],12.955µm
carry\[1\],12.051µm
carry\[4\],11.193µm
carry\[5\],10.199µm
ll2_flat\[21\],10.068µm
u_xp17x7_carry/_110_,9.149µm
ll2_flat\[18\],9.114µm
ll2_flat\[16\],9.054µm
ll2_flat\[9\],8.788µm
u_xp17x7_carry/_130_,8.737µm
u_xp17x7_carry/_127_,8.286µm
ll2_flat\[24\],8.253µm
hl1_flat\[12\],8.251µm
ll2_flat\[5\],8.235µm
ll2_flat\[20\],7.892µm
u_xp13_lo_l3/_030_,7.862µm
u_xp13_lo_l3/_188_,7.819µm
u_xp13_lo_l3/_177_,7.609µm
hl1_flat\[11\],7.599µm
ll2_flat\[6\],7.476µm
ll2_flat\[3\],7.291µm
u_xp13_lo_l3/_076_,7.119µm
u_xp13_lo_l3/_090_,6.812µm
hl1_flat\[14\],6.81µm
ll2_flat\[1\],6.771µm
u_xp13_lo_l3/_042_,6.685µm
ll2_flat\[7\],6.676µm
high_sum\[13\],6.587µm
ll2_flat\[23\],6.245µm
ll2_flat\[8\],6.126µm
ll2_flat\[19\],6.052µm
ll2_flat\[4\],5.945µm
u_xp13_lo_l3/_201_,5.907µm
hl2_flat\[6\],5.866µm
hl1_flat\[13\],5.857µm
ll2_flat\[22\],5.814µm
u_xp13_lo_l3/_015_,5.792µm
hl2_flat\[15\],5.787µm
ll2_flat\[11\],5.656µm
ll2_flat\[14\],5.629µm
u_xp13_lo_l3/_006_,5.537µm
u_xp13_lo_l3/_176_,5.413µm
carry\[2\],5.317µm
hl2_flat\[3\],5.293µm
ll2_flat\[2\],5.293µm
u_xp13_lo_l3/_026_,5.18µm
hl2_flat\[17\],5.119µm
ll2_flat\[15\],5.079µm
u_xp13_lo_l3/_180_,4.985µm
u_xp13_lo_l3/_172_,4.925µm
hl2_flat\[13\],4.893µm
hl2_flat\[5\],4.82µm
ll2_flat\[0\],4.767µm
hl2_flat\[2\],4.735µm
u_xp13_lo_l3/_052_,4.648µm
u_xp13_lo_l3/_173_,4.599µm
ll2_flat\[12\],4.529µm
hl2_flat\[11\],4.519µm
high_sum\[14\],4.498µm
hl2_flat\[16\],4.403µm
u_xp13_lo_l3/_019_,4.398µm
hl2_flat\[14\],4.371µm
hl2_flat\[12\],4.226µm
u_xp9_hi_l3/_041_,4.19µm
hl2_flat\[1\],4.13µm
u_xp13_lo_l3/_060_,4.105µm
ll2_flat\[13\],4.079µm
u_xp13_lo_l3/_034_,4.065µm
hl2_flat\[4\],4.061µm
high_sum\[15\],4.056µm
hl2_flat\[0\],4.048µm
ll2_flat\[25\],4.031µm
high_sum\[1\],3.993µm
u_xp9_hi_l3/_038_,3.969µm
hl1_flat\[18\],3.962µm
xp7_lo_l2\[0\].u_xp7/_019_,3.916µm
ll2_flat\[10\],3.909µm
ll1_flat\[16\],3.902µm
u_xp13_lo_l3/_198_,3.859µm
carry\[6\],3.856µm
carry\[3\],3.785µm
hl1_flat\[7\],3.772µm
u_xp9_hi_l3/_057_,3.765µm
high_sum\[16\],3.745µm
u_xp13_lo_l3/_191_,3.717µm
u_xp9_hi_l3/_085_,3.65µm
ll1_flat\[1\],3.624µm
u_xp9_hi_l3/_001_,3.605µm
u_xp13_lo_l3/_005_,3.599µm
hl2_flat\[7\],3.556µm
u_xp13_lo_l3/_001_,3.516µm
hl1_flat\[8\],3.446µm
u_xp9_hi_l3/_064_,3.437µm
u_xp13_lo_l3/_175_,3.42µm
hl1_flat\[17\],3.398µm
high_sum\[6\],3.339µm
ll1_flat\[8\],3.324µm
low_sum\[14\],3.299µm
hd[1],3.267µm
ll1_flat\[15\],3.247µm
ll2_flat\[17\],3.247µm
u_xp13_lo_l3/_181_,3.222µm
u_xp9_hi_l3/_075_,3.221µm
ll1_flat\[12\],3.163µm
ps_flat\[62\],3.161µm
hi_flat\[11\],3.149µm
xp3_hi_l1\[2\].u_xp3/sum_bit\[0\].grid_and,3.143µm
ll1_flat\[6\],3.137µm
hl2_flat\[10\],3.125µm
hi_flat\[23\],3.111µm
hl1_flat\[19\],3.08µm
ll1_flat\[25\],3.075µm
u_xp9_hi_l3/_039_,3.064µm
high_sum\[11\],3.034µm
ll1_flat\[0\],3.018µm
hd[0],3.001µm
ll1_flat\[27\],2.996µm
ll1_flat\[13\],2.994µm
high_sum\[10\],2.989µm
ll1_flat\[23\],2.962µm
u_xp17x7_carry/_103_,2.962µm
ps_flat\[12\],2.863µm
_048_,2.828µm
hl1_flat\[10\],2.828µm
ll1_flat\[2\],2.783µm
ll1_flat\[26\],2.767µm
hi_flat\[17\],2.724µm
_039_,2.702µm
ps_flat\[22\],2.687µm
ll1_flat\[4\],2.68µm
ps_flat\[32\],2.673µm
hl1_flat\[2\],2.667µm
ps_flat\[2\],2.659µm
ps_flat\[42\],2.631µm
ll1_flat\[9\],2.627µm
high_sum\[9\],2.618µm
ps_flat\[72\],2.609µm
ps_flat\[52\],2.585µm
u_xp9_hi_l3/_050_,2.583µm
high_sum\[12\],2.576µm
u_xp9_hi_l3/_043_,2.555µm
ll1_flat\[22\],2.55µm
high_sum\[2\],2.543µm
hi_flat\[22\],2.534µm
ll1_flat\[18\],2.514µm
ps_flat\[38\],2.489µm
low_sum\[12\],2.483µm
lo_flat\[8\],2.397µm
low_sum\[15\],2.387µm
_038_,2.361µm
_051_,2.359µm
xp7_lo_l2\[0\].u_xp7/_008_,2.351µm
xp5_s2l2\[2\].u_xp5/_01_,2.345µm
high_sum\[7\],2.335µm
u_xp13_lo_l3/_066_,2.324µm
hl2_flat\[8\],2.303µm
lo_flat\[22\],2.3µm
xp5_s2l2\[4\].u_xp5/_04_,2.273µm
hl2_flat\[9\],2.272µm
ps_flat\[8\],2.252µm
u_xp9_hi_l3/_074_,2.248µm
xp3_hi_l1\[3\].u_xp3/sum_bit\[0\].grid_and,2.22µm
hl1_flat\[16\],2.219µm
u_xp13_lo_l3/_208_,2.208µm
ll1_flat\[21\],2.205µm
lo_flat\[20\],2.191µm
ps_flat\[28\],2.191µm
ps_flat\[58\],2.191µm
hl1_flat\[6\],2.179µm
ll1_flat\[11\],2.179µm
xp7_lo_l2\[1\].u_xp7/_019_,2.165µm
u_xp17x7_carry/_121_,2.152µm
xp5_s2l2\[6\].u_xp5/_01_,2.146µm
upper\[14\],2.142µm
u_xp17x7_carry/_118_,2.14µm
low_sum\[11\],2.131µm
xp5_s2l2\[0\].u_xp5/_01_,2.125µm
ll1_flat\[14\],2.121µm
ps_flat\[51\],2.106µm
hi_flat\[21\],2.1µm
xp7_lo_l2\[0\].u_xp7/_005_,2.096µm
ps_flat\[78\],2.084µm
ll1_flat\[17\],2.069µm
u_xp17x7_carry/_026_,2.068µm
ll1_flat\[20\],2.066µm
_017_,2.065µm
u_xp9_hi_l3/_090_,2.065µm
xp4_lo_l1\[1\].u_xp4/_04_,2.059µm
xp3_hi_l1\[1\].u_xp3/sum_bit\[0\].grid_and,2.051µm
xp7_lo_l2\[1\].u_xp7/_016_,2.048µm
high_sum\[8\],2.044µm
low_sum\[19\],2.044µm
xp5_s2l2\[4\].u_xp5/_01_,2.033µm
hl1_flat\[9\],2.028µm
ps_flat\[68\],2.024µm
u_xp9_hi_l3/_046_,2.023µm
u_xp9_hi_l3/_065_,2.023µm
xp4_lo_l1\[0\].u_xp4/_04_,2.023µm
lo_flat\[23\],2.011µm
u_xp17x7_carry/_059_,2.009µm
hl1_flat\[5\],1.984µm
xp7_lo_l2\[0\].u_xp7/_000_,1.976µm
hi_flat\[10\],1.963µm
upper\[19\],1.939µm
cell_oh_flat\[3\],1.936µm
xp5_s2l2\[3\].u_xp5/_01_,1.936µm
ll1_flat\[3\],1.932µm
ps_flat\[64\],1.932µm
hi_flat\[5\],1.927µm
ll1_flat\[7\],1.925µm
xp5_hi_l2\[1\].u_xp5/_01_,1.915µm
xp5_s2l2\[7\].u_xp5/_01_,1.897µm
ps_flat\[48\],1.883µm
hi_flat\[9\],1.882µm
xp7_lo_l2\[0\].u_xp7/_016_,1.881µm
hd[3],1.874µm
ps_flat\[1\],1.873µm
xp5_hi_l2\[0\].u_xp5/_01_,1.866µm
